,"Starts, total",  Single-detached,  Multiple,     Semi-detached,     Row,     Apartment,"Starts by intended market, total",  Homeownership - freehold,  Rental,  Homeownership - condominium,  Other (co-op and unknown),"Completions, total",Residential Building Permits4,Residential Building Permits($) (thousands)4,Newly completed and unabsorbed homes1,     Single- and semi-detached,     Row and apartment,Rental vacancy rate (%)2,Rental availability rate (%)2,Vacancy Rate (Standard Spaces) in Seniors' Rental 8,New Housing Price Index (% change)4,Teranet - National Bank House Price Index (% change)7,Consumer Price Index (% change)4,Owned accommodation costs (% change)4,Rental accommodation costs (% change)4,  Bachelor, One-bedroom, Two-bedroom,3+ bedroom,"Population on July 1 (thousands)3,5",Labour force participation rate (%)3,Employment (% change)4,Unemployment rate (%)3,"Net migration4,6"
1990,2969,1451,1518,22,1069,427,2969,1658,447,864,0,3242,2956,283.673,0,0,0,1.3,0,0,2.25635449232024,0,4.8152668367913,0,0,342,432,523,653,614.663,0,0,0,0
1991,2498,790,1708,36,989,683,2498,892,756,836,14,2491,2322,220.091,0,0,0,1.6,0,0,-5.86202312907086,0,4.63639250555731,0,0,372,458,548,690,618.603,0,0,0,0
1992,2632,1213,1419,26,902,491,2632,1408,591,262,371,2680,2922,260.899,674,142,532,2.3,0,0,-3.64303868963569,0,1.02175012645421,0,0,363,469,574,697,622.347,0,0,0,0
1993,2989,1510,1479,160,936,383,2989,1895,721,283,90,2521,3402,304.329,428,162,266,2.7,0,0,-2.62309495896835,0,1.78249549369117,0,0,383,488,599,742,624.799,0,0,0,0
1994,2833,1670,1163,92,773,298,2833,1834,323,541,135,3519,2788,270.404,307,149,158,2.4,0,0,-0.331075996990221,0,0.0491932310114205,0,0,389,498,602,755,630.008,0,0,0,0
1995,2001,1057,944,70,487,387,2001,1175,290,536,0,1950,2012,192.145,289,167,122,2,0,0,-1.16261512909556,0,2.46828596715508,0,0,396,509,614,755,636.438,0,0,0,0
1996,2642,1472,1170,138,849,183,2642,1956,6,680,0,2421,2628,263.137,191,129,62,2.2,0,0,-0.76382523678582,0,1.51631477927062,0,0,389,506,625,789,635.136,0,0,0,0
1997,3698,2239,1459,154,1031,274,3698,2712,28,958,0,3409,3784,375.813,177,104,73,3.1,0,0,3.92549261083743,0,1.8812629986765,0,0,405,520,636,808,643.285999999999,0,0,0,0
1998,3627,1736,1891,188,1215,488,3627,2573,79,975,0,3222,3708,392.388,155,75,80,3.2,0,0,3.16990075544362,0,0.927902013547366,0,0,403,539,662,821,650.655,0,0,0,0
1999,3923,1906,2017,188,878,951,3923,2366,8,1549,0,3451,4079,436.154,325,136,189,1.9,0,0,1.03374012921753,3.15030178124537,1.93987312678127,0,0,423,563,698,860,658.021,0,0,0,0
2000,3108,1884,1224,134,880,210,3108,2412,15,681,0,4024,3138,371.062,587,196,391,1.7,0,0,2.50106579508312,5.26616240901955,2.94011544011545,0,0,460,582,719,864,667.05,0,0,0,0
2001,3365,1842,1523,122,936,465,3365,2303,0,1053,9,3284,3395,409.659,659,322,337,1.3,0,0,2.02412311104949,5.68058568329716,3.05764850183983,0,0,453,608,740,913,689.072,67.2,0,6.1,0
2002,3803,2259,1544,95,1243,206,3803,2946,98,753,6,3621,3979,522.741,351,212,139,1.6,0,0,4.34841690447072,8.01796023091725,2.01479214486101,0,0,476,627,765,952,697.025,66.4,-0.346120565330253,6.7,6953
2003,3260,1743,1517,100,1240,177,3260,2401,13,831,15,3303,3309,465.961,122,66,56,3,0,0,6.26383643703607,6.17577197149643,2.64999999999999,0,0,498,633,778,946,703.998,68.3,4.9493487698987,6.2,6102
2004,4093,1995,2098,158,1196,744,4093,2672,217,1204,0,3233,4063,602.25,172,61,111,3.4,5.4,0,5.36764705882352,6.92393736017897,1.88342263354441,0,0,509,641,789,967,710.139,69.3,2.39933811362382,6.3,4857
2005,3145,1502,1643,204,1002,437,3145,2129,265,751,0,2842,3469,562.381,115,60,55,4.3,7.3,0,5.66410793207722,8.03431321267913,2.19920318725098,0,0,493,646,791,961,715.083,66.5,-2.12765957446809,5.6,3660
2006,3043,1741,1302,138,948,216,3043,2441,130,472,0,3347,3300,547.935,111,63,48,4.3,7,0,5.52559163456247,4.18320906361964,1.76204584437862,0,0,492,644,796,946,719.434,67,1.23830489818381,6,-708
2007,3004,1761,1243,94,922,227,3004,2264,139,601,0,3309,3283,578.037,125,67,58,3.5,5.8,0,4.46437884635443,4.61009387489543,1.83113699049953,0,0,511,666,824,1005,722.102,66.9,0.570807284588209,6,2594
2008,3529,1675,1854,132,1224,498,3529,2378,0,1151,0,2717,3595,632.269,127,84,43,3.2,4.9,0,2.79580629056415,2.84318080852954,2.27221428034007,0,0,542,681,836,986,725.297,66.5,0.0810810810810841,6.1,3107
2009,1860,899,961,134,473,354,1860,1240,264,355,1,2721,2100,386.522,86,47,39,4,7,17,-1.08790675084992,2.66090712742981,0.375193114102854,0,0,517,679,831,1022,729.247,67.5,-0.135025654874426,8.5,3831
2010,3562,1753,1809,246,933,630,3562,2731,197,634,0,3178,3456,758.636999999999,73,34,39,3.7,6.8,11.2,1.57124619463811,2.57510729613734,2.43330401641747,0,0,529,705,862,1095,736.141,65.9,-0.189291508923739,7.6,6716
2011,2462,1370,1092,28,675,389,2462,1848,131,483,0,2717,3137,673.497,75,33,42,3.4,6.2,11,0.870153727158471,7.70366724095497,3.08385804235832,0,0,549,722,884,1133,742.498,65.5,1.62557572473584,6.6,4795
2012,2969,1389,1580,94,1040,446,2969,2094,144,731,0,3169,3205,762.273,69,50,19,3.5,6.7,9.9,1.5431802933001,7.41163924436318,1.40903727354758,0,0,569,735,886,1101,750.684,64.9,0.399893361770194,6.6,6351
2013,2709,1159,1550,100,746,704,2709,1678,373,658,0,2359,2561,657.655,64,54,10,3.4,5.2,9.3,2.46365867472153,3.65931494220268,1.05407255304585,0,0,588,766,932,1130,758.005,63.7,-0.477960701009031,6.4,5764
2014,2832,1153,1679,110,1065,504,2832,2078,126,628,0,2635,2647,729.653,92,70,22,2.2,3.6,11,2.71764163979733,7.82650338646782,2.30967217556218,0,0,592,792,959,1173,764.695,64,2.37459978655282,5.8,5270
2015,2054,1122,932,24,539,369,2054,1652,2,400,0,2722,3232,882.364,287,111,176,3.4,6.6,9.7,3.26457399103138,8.81923735803564,1.21813968884476,0,0,607,828,1034,1289,770.156,63.5,0.443054469637734,5.5,4177
2016,3269,827,2442,110,1099,1233,3269,2013,228,1028,0,2075,3597,954.712,364,104,260,3.8,6,10.3,2.72711481674483,17.4683691913008,1.78559748839033,0,0,673,869,1037,1232,778.417,63.2,0.103788271925281,6.2,7116
category,construction,construction,construction,construction,construction,construction,construction,construction,construction,construction,construction,construction,construction,construction,availablesupply,availablesupply,availablesupply,availablesupply,availablesupply,availablesupply,housingcosts,housingcosts,housingcosts,housingcosts,housingcosts,averagerent,averagerent,averagerent,averagerent,demandinfluences,demandinfluences,demandinfluences,demandinfluences,demandinfluences
state,hamilton,hamilton,hamilton,hamilton,hamilton,hamilton,hamilton,hamilton,hamilton,hamilton,hamilton,hamilton,hamilton,hamilton,hamilton,hamilton,hamilton,hamilton,hamilton,hamilton,hamilton,hamilton,hamilton,hamilton,hamilton,hamilton,hamilton,hamilton,hamilton,hamilton,hamilton,hamilton,hamilton,hamilton
